"lon","lat","X","Y","polygon","unicode","prov","dist","loc","viv","loc_num","block","uniblock"
-71.5904541622775,-16.4484158960764,223390.147114,8179690.88693,10,"1.24.1.183",1,24,"1","183",1,"11","1.24.1.11"
-71.5904420593485,-16.4483728718184,223391.379193,8179695.666914,10,"1.24.1.184",1,24,"1","184",1,"11","1.24.1.11"
-71.5904001063548,-16.4483315636811,223395.802947,8179700.297754,10,"1.24.1.184A",1,24,"1","184A",1,"11","1.24.1.11"
-71.5903919433419,-16.4482896812653,223396.615698,8179704.945927,10,"1.24.1.184B",1,24,"1","184B",1,"11","1.24.1.11"
-71.5903787939243,-16.4482616025383,223397.980785,8179708.072652,10,"1.24.1.184C",1,24,"1","184C",1,"11","1.24.1.11"
-71.5903273698091,-16.4482138046075,223403.407254,8179713.434969,10,"1.24.1.185",1,24,"1","185",1,"11","1.24.1.11"
-71.590071987928,-16.4482804274488,223430.787262,8179706.40835,10,"1.24.1.186",1,24,"1","186",1,"11","1.24.1.11"
-71.590300945941,-16.4481410711187,223406.127282,8179721.5238,10,"1.24.1.187",1,24,"1","187",1,"11","1.24.1.11"
-71.5905778183288,-16.4482355468168,223376.67965,8179710.684995,11,"1.24.1.188",1,24,"1","188",1,"12","1.24.1.12"
-71.5906233694648,-16.4482932943345,223371.894781,8179704.229144,11,"1.24.1.189",1,24,"1","189",1,"12","1.24.1.12"
-71.5906416501406,-16.4484094106198,223370.10634,8179691.348337,11,"1.24.1.190",1,24,"1","190",1,"12","1.24.1.12"
-71.5906955513065,-16.4485119797188,223364.492923,8179679.918644,11,"1.24.1.191",1,24,"1","191",1,"12","1.24.1.12"
-71.5907627975581,-16.4486216034111,223357.463706,8179667.689632,11,"1.24.1.192",1,24,"1","192",1,"12","1.24.1.12"
-71.5908477463179,-16.4486145305993,223348.377587,8179668.356409,11,"1.24.1.193",1,24,"1","193",1,"12","1.24.1.12"
-71.5909190396049,-16.4485871785859,223340.721674,8179671.287082,11,"1.24.1.194",1,24,"1","194",1,"12","1.24.1.12"
-71.5910171913546,-16.4485709671914,223330.211955,8179672.947552,11,"1.24.1.195",1,24,"1","195",1,"12","1.24.1.12"
-71.590982488734,-16.4485915889968,223333.948905,8179670.711923,11,"1.24.1.195A",1,24,"1","195A",1,"12","1.24.1.12"
